ticker,yahoo_ticker,country,company,sector
2020,2020.OL,Norway,2020 Bulkers,
2CUREX,2CUREX.ST,Sweden,2cureX,
4C,4C.ST,Sweden,4C Group,
5PG,5PG.OL,Norway,5th Planet Games,
MAERSK A,MAERSK-A.CO,Denmark,A.P. Moller Maersk A,
MAERSK B,MAERSK-B.CO,Denmark,A.P. Moller Maersk B,
AAC,AAC.ST,Sweden,AAC Clyde Space,
AAK,AAK.ST,Sweden,AAK,
AAB,AAB.CO,Denmark,Aalborg Boldspilklub,
AALLON,AALLON.HE,Finland,Aallon Group,
AASB,AASB.OL,Norway,Aasen Sparebank,
ABAS,ABAS.ST,Sweden,ABAS Protect,
ABB,ABB.ST,Sweden,ABB,
ABIG,ABIG.ST,Sweden,Abelco Investment,
ABERA,ABERA.ST,Sweden,Abera Bioscience,
ABG,ABG.OL,Norway,ABG Sundal Collier,
ABL,ABL.OL,Norway,ABL Group,
ABSO,ABSO.ST,Sweden,Absolent Air Care,
ABSL B,ABSL-B.ST,Sweden,Absolicon,
ACAD,ACAD.ST,Sweden,AcadeMedia,
ACARIX,ACARIX.ST,Sweden,Acarix,
ACAST,ACAST.ST,Sweden,Acast,
ACCON,ACCON.ST,Sweden,Acconeer,
ACED,ACED.OL,Norway,Ace Digital,
PADEL,PADEL.ST,Sweden,Acenta Group,
ACOU,ACOU.ST,Sweden,AcouSort,
ACRI A,ACRI-A.ST,Sweden,Acrinova A,
ACRI B,ACRI-B.ST,Sweden,Acrinova B,
ACROUD,ACROUD.ST,Sweden,Acroud,
ATIC,ATIC.ST,Sweden,Actic Group,
ACTI,ACTI.ST,Sweden,Active Biotech,
ACUC,ACUC.ST,Sweden,AcuCort,
ACUVI,ACUVI.ST,Sweden,Acuvi,
ALIF B,ALIF-B.ST,Sweden,AddLife,
ANOD B,ANOD-B.ST,Sweden,Addnode,
ADDT B,ADDT-B.ST,Sweden,Addtech,
ADDV A,ADDV-A.ST,Sweden,ADDvise Group A,
ADDV B,ADDV-B.ST,Sweden,ADDvise Group B,
ADMCM,ADMCM.HE,Finland,Admicom,
ADMIN,ADMIN.HE,Finland,Administer,
ADS,ADS.OL,Norway,ADS Maritime,
ADTR,ADTR.ST,Sweden,Adtraction,
ADVE,ADVE.ST,Sweden,Advenica,
ADVT,ADVT.ST,Sweden,Adverty,
SX502010PI,SX502010PI.ST,Sweden,Aerospace & Defense,
AERW B,AERW-B.ST,Sweden,Aerowash,
AFG,AFG.OL,Norway,AF Gruppen,
AFAGR,AFAGR.HE,Finland,Afarak,
AEC,AEC.ST,Sweden,Africa Energy,
AFRI,AFRI.ST,Sweden,Africa Resources,
AFRY,AFRY.ST,Sweden,AFRY,
AGAT,AGAT.CO,Denmark,Agat Ejendomme,
AGES B,AGES-B.ST,Sweden,Ages Industri,
AGF B,AGF-B.CO,Denmark,AGF B,
AGILC,AGILC.CO,Denmark,Agillic,
AGLX,AGLX.OL,Norway,Agilyx,
AGTIRA B,AGTIRA-B.ST,Sweden,Agtira,
AIFORIA,AIFORIA.HE,Finland,Aiforia Technologies,
AIK B,AIK-B.ST,Sweden,AIK Fotboll,
