ticker,yahoo_ticker,country,company,sector,borsdata_ticker,ins_id
2020,2020.OL,Norway,2020 Bulkers,,2020,1871.0
2CUREX,2CUREX.ST,Sweden,2cureX,,2CUREX,1550.0
4C,4C.ST,Sweden,4C Group,,4C,2396.0
5PG,5PG.OL,Norway,5th Planet Games,,5PG,1165.0
MAERSK A,MAERSK-A.CO,Denmark,A.P. Moller Maersk A,,MAERSK A,1654.0
MAERSK B,MAERSK-B.CO,Denmark,A.P. Moller Maersk B,,MAERSK B,889.0
AAC,AAC.ST,Sweden,AAC Clyde Space,,AAC,1398.0
AAK,AAK.ST,Sweden,AAK,,AAK,2.0
AAB,AAB.CO,Denmark,Aalborg Boldspilklub,,AAB,1213.0
AALLON,AALLON.HE,Finland,Aallon Group,,AALLON,1833.0
AASB,AASB.OL,Norway,Aasen Sparebank,,AASB,1181.0
ABAS,ABAS.ST,Sweden,ABAS Protect,,ABAS,2481.0
ABB,ABB.ST,Sweden,ABB,,ABB,3.0
ABIG,ABIG.ST,Sweden,Abelco Investment,,ABIG,1461.0
ABERA,ABERA.ST,Sweden,Abera Bioscience,,ABERA,2079.0
ABG,ABG.OL,Norway,ABG Sundal Collier,,ABG,1034.0
ABL,ABL.OL,Norway,ABL Group,,ABL,1040.0
ABSO,ABSO.ST,Sweden,Absolent Air Care,,ABSO,437.0
ABSL B,ABSL-B.ST,Sweden,Absolicon,,ABSL B,1336.0
ACAD,ACAD.ST,Sweden,AcadeMedia,,ACAD,1323.0
ACARIX,ACARIX.ST,Sweden,Acarix,,ACARIX,1397.0
ACAST,ACAST.ST,Sweden,Acast,,ACAST,2198.0
ACCON,ACCON.ST,Sweden,Acconeer,,ACCON,1572.0
ACED,ACED.OL,Norway,Ace Digital,,ACED,2597.0
PADEL,PADEL.ST,Sweden,Acenta Group,,PADEL,432.0
ACOU,ACOU.ST,Sweden,AcouSort,,ACOU,1402.0
ACRI A,ACRI-A.ST,Sweden,Acrinova A,,ACRI A,607.0
ACRI B,ACRI-B.ST,Sweden,Acrinova B,,ACRI B,2104.0
ACROUD,ACROUD.ST,Sweden,Acroud,,ACROUD,525.0
ATIC,ATIC.ST,Sweden,Actic Group,,ATIC,1426.0
ACTI,ACTI.ST,Sweden,Active Biotech,,ACTI,6.0
ACUC,ACUC.ST,Sweden,AcuCort,,ACUC,1451.0
ACUVI,ACUVI.ST,Sweden,Acuvi,,ACUVI,1326.0
ALIF B,ALIF-B.ST,Sweden,AddLife,,ALIF B,1015.0
ANOD B,ANOD-B.ST,Sweden,Addnode,,ANOD B,7.0
ADDT B,ADDT-B.ST,Sweden,Addtech,,ADDT B,8.0
ADDV A,ADDV-A.ST,Sweden,ADDvise Group A,,ADDV A,257.0
ADDV B,ADDV-B.ST,Sweden,ADDvise Group B,,ADDV B,1603.0
ADMCM,ADMCM.HE,Finland,Admicom,,ADMCM,1672.0
ADMIN,ADMIN.HE,Finland,Administer,,ADMIN,2348.0
ADS,ADS.OL,Norway,ADS Maritime,,ADS,1736.0
ADTR,ADTR.ST,Sweden,Adtraction,,ADTR,2318.0
ADVE,ADVE.ST,Sweden,Advenica,,ADVE,420.0
ADVT,ADVT.ST,Sweden,Adverty,,ADVT,1751.0
SX502010PI,SX502010PI.ST,Sweden,Aerospace & Defense,,SX502010PI,2457.0
AERW B,AERW-B.ST,Sweden,Aerowash,,AERW B,1411.0
AFG,AFG.OL,Norway,AF Gruppen,,AFG,1009.0
AFAGR,AFAGR.HE,Finland,Afarak,,AFAGR,793.0
AEC,AEC.ST,Sweden,Africa Energy,,AEC,1700.0
AFRI,AFRI.ST,Sweden,Africa Resources,,AFRI,1701.0
AFRY,AFRY.ST,Sweden,AFRY,,AFRY,241.0
AGAT,AGAT.CO,Denmark,Agat Ejendomme,,AGAT,1289.0
AGES B,AGES-B.ST,Sweden,Ages Industri,,AGES B,395.0
AGF B,AGF-B.CO,Denmark,AGF B,,AGF B,1214.0
AGILC,AGILC.CO,Denmark,Agillic,,AGILC,1686.0
AGLX,AGLX.OL,Norway,Agilyx,,AGLX,1981.0
AGTIRA B,AGTIRA-B.ST,Sweden,Agtira,,AGTIRA B,1478.0
AIFORIA,AIFORIA.HE,Finland,Aiforia Technologies,,AIFORIA,2337.0
AIK B,AIK-B.ST,Sweden,AIK Fotboll,,AIK B,578.0
AIKE B,AIKE-B.ST,Sweden,Aike,,AIKE B,545.0
AINO,AINO.ST,Sweden,Aino Health,,AINO,1395.0
AIRX,AIRX.OL,Norway,Airthings,,,
AIXIA B,AIXIA-B.ST,Sweden,Aixia,,AIXIA B,1599.0
AKAST,AKAST.OL,Norway,Akastor,,AKAST,1036.0
AKER,AKER.OL,Norway,Aker,,AKER,1037.0
AKBM,AKBM.OL,Norway,Aker BioMarine,,AKBM,1954.0
AKRBP,AKRBP.OL,Norway,Aker BP,,AKRBP,886.0
AKH,AKH.OL,Norway,Aker Horizons,,AKH,2070.0
AKSO,AKSO.OL,Norway,Aker Solutions,,AKSO,884.0
AKOBO,AKOBO.OL,Norway,Akobo Minerals,,AKOBO,2243.0
