action_baseline,k_baseline,ticker_baseline,company_baseline,quality_score_baseline,mos_baseline,mode_baseline,period,date_baseline,ret_baseline,action_change1_quality,k_change1_quality,ticker_change1_quality,company_change1_quality,quality_score_change1_quality,mos_change1_quality,mode_change1_quality,date_change1_quality,ret_change1_quality,action_change2_value,k_change2_value,ticker_change2_value,company_change2_value,quality_score_change2_value,mos_change2_value,mode_change2_value,date_change2_value,ret_change2_value,action_v2,k_v2,ticker_v2,company_v2,quality_score_v2,mos_v2,mode_v2,date_v2,ret_v2
CASH,CASH,CASH,CASH,,,baseline,2011-05,2011-05-31,0.0,CASH,CASH,CASH,CASH,,,change1_quality,2011-05-31,0.0,CASH,CASH,CASH,CASH,,,change2_value,2011-05-31,0.0,CASH,CASH,CASH,CASH,,,v2,2011-05-31,0.0
CASH,CASH,CASH,CASH,,,baseline,2011-06,2011-06-30,0.0,CASH,CASH,CASH,CASH,,,change1_quality,2011-06-30,0.0,CASH,CASH,CASH,CASH,,,change2_value,2011-06-30,0.0,CASH,CASH,CASH,CASH,,,v2,2011-06-30,0.0
CASH,CASH,CASH,CASH,,,baseline,2011-07,2011-07-29,0.0,CASH,CASH,CASH,CASH,,,change1_quality,2011-07-29,0.0,CASH,CASH,CASH,CASH,,,change2_value,2011-07-29,0.0,CASH,CASH,CASH,CASH,,,v2,2011-07-29,0.0
CASH,CASH,CASH,CASH,,,baseline,2011-08,2011-08-31,0.0,CASH,CASH,CASH,CASH,,,change1_quality,2011-08-31,0.0,CASH,CASH,CASH,CASH,,,change2_value,2011-08-31,0.0,CASH,CASH,CASH,CASH,,,v2,2011-08-31,0.0
CASH,CASH,CASH,CASH,,,baseline,2011-09,2011-09-30,0.0,CASH,CASH,CASH,CASH,,,change1_quality,2011-09-30,0.0,CASH,CASH,CASH,CASH,,,change2_value,2011-09-30,0.0,CASH,CASH,CASH,CASH,,,v2,2011-09-30,0.0
CASH,CASH,CASH,CASH,,,baseline,2011-10,2011-10-31,0.0,CASH,CASH,CASH,CASH,,,change1_quality,2011-10-31,0.0,CASH,CASH,CASH,CASH,,,change2_value,2011-10-31,0.0,CASH,CASH,CASH,CASH,,,v2,2011-10-31,0.0
CASH,CASH,CASH,CASH,,,baseline,2011-11,2011-11-30,0.0,CASH,CASH,CASH,CASH,,,change1_quality,2011-11-30,0.0,CASH,CASH,CASH,CASH,,,change2_value,2011-11-30,0.0,CASH,CASH,CASH,CASH,,,v2,2011-11-30,0.0
CASH,CASH,CASH,CASH,,,baseline,2011-12,2011-12-30,0.0,CASH,CASH,CASH,CASH,,,change1_quality,2011-12-30,0.0,CASH,CASH,CASH,CASH,,,change2_value,2011-12-30,0.0,CASH,CASH,CASH,CASH,,,v2,2011-12-30,0.0
CASH,CASH,CASH,CASH,,,baseline,2012-01,2012-01-31,0.0,CASH,CASH,CASH,CASH,,,change1_quality,2012-01-31,0.0,CASH,CASH,CASH,CASH,,,change2_value,2012-01-31,0.0,CASH,CASH,CASH,CASH,,,v2,2012-01-31,0.0
BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,baseline,2012-02,2012-02-29,0.18439716312056742,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change1_quality,2012-02-29,0.18439716312056742,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change2_value,2012-02-29,0.18439716312056742,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,v2,2012-02-29,0.18439716312056742
BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,baseline,2012-03,2012-03-30,0.3293413173652695,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change1_quality,2012-03-30,0.3293413173652695,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change2_value,2012-03-30,0.3293413173652695,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,v2,2012-03-30,0.3293413173652695
BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,baseline,2012-04,2012-04-30,-0.2432432432432432,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change1_quality,2012-04-30,-0.2432432432432432,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change2_value,2012-04-30,-0.2432432432432432,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,v2,2012-04-30,-0.2432432432432432
BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,baseline,2012-05,2012-05-31,-0.04761904761904767,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change1_quality,2012-05-31,-0.04761904761904767,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change2_value,2012-05-31,-0.04761904761904767,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,v2,2012-05-31,-0.04761904761904767
BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,baseline,2012-06,2012-06-29,0.10000000000000009,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change1_quality,2012-06-29,0.10000000000000009,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change2_value,2012-06-29,0.10000000000000009,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,v2,2012-06-29,0.10000000000000009
BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,baseline,2012-07,2012-07-31,0.05681818181818188,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change1_quality,2012-07-31,0.05681818181818188,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change2_value,2012-07-31,0.05681818181818188,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,v2,2012-07-31,0.05681818181818188
BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,baseline,2012-08,2012-08-31,0.06451612903225801,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change1_quality,2012-08-31,0.06451612903225801,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change2_value,2012-08-31,0.06451612903225801,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,v2,2012-08-31,0.06451612903225801
BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,baseline,2012-09,2012-09-28,0.045454545454545414,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change1_quality,2012-09-28,0.045454545454545414,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change2_value,2012-09-28,0.045454545454545414,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,v2,2012-09-28,0.045454545454545414
BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,baseline,2012-10,2012-10-31,-0.07246376811594202,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change1_quality,2012-10-31,-0.07246376811594202,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change2_value,2012-10-31,-0.07246376811594202,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,v2,2012-10-31,-0.07246376811594202
BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,baseline,2012-11,2012-11-30,-0.125,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change1_quality,2012-11-30,-0.125,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,change2_value,2012-11-30,-0.125,BUY,ZEAL,ZEAL,Zealand Pharma,0.06732686589447426,1.4333500044129326,v2,2012-11-30,-0.125
